title,studio,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,domestic_gross,worldwide_gross,rating,genre,director,writer,runtime
Inception,WB,535700000.0,2010,en,27.92,2010-07-16,8.3,22186,160000000.0,292576195.0,835524642.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Due Date,WB,111200000.0,2010,en,12.445,2010-11-04,6.3,2973,65000000.0,100539043.0,211739043.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Yogi Bear,WB,101300000.0,2010,en,9.096,2010-12-17,5.3,387,80000000.0,100246011.0,204774690.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
The Book of Eli,WB,62300000.0,2010,en,18.985,2010-01-11,6.7,3495,80000000.0,94835059.0,158750817.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
The Town,WB,61800000.0,2010,en,13.476,2010-09-17,7.1,2386,37000000.0,92186262.0,152566881.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Legend of the Guardians: The Owls of Ga'Hoole,WB,84400000.0,2010,en,10.754,2010-09-24,6.6,1223,100000000.0,55675313.0,139716717.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Cats & Dogs: The Revenge of Kitty Galore,WB,68900000.0,2010,en,10.544,2010-07-30,4.9,273,85000000.0,43585753.0,113026383.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Life as We Know It,WB,52300000.0,2010,en,11.806,2010-10-02,6.8,1748,38000000.0,53374681.0,105887837.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Hereafter,WB,72500000.0,2010,en,7.886,2010-10-22,5.9,848,50000000.0,32746941.0,108660270.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Edge of Darkness,WB,37800000.0,2010,en,11.252,2010-01-29,6.3,794,60000000.0,43313890.0,82812456.0,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
